Visit Frequency;Days Since Last Loyalty Program Interaction;Purchase Recency;Average Spend per Visit;Loyalty Points Earned (Last X Days);Loyalty Points Redeemed (Last X Days);Total Loyalty Points Balance;Most Purchased Product Category;Change in Product Category;Time of Visit (Peak/Off-Peak);Preferred Order Method;Change in Order Method;Number of Complaints (Last X Days);Sentiment of Last Review/Feedback;Special Event Engagement;Churn Label
8;16;9;151595;17;455;1894;Coffee;0;Evening;Dine-in;0;1;Positive;1;0
9;9;16;150323;115;473;1749;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
6;10;32;149255;228;436;240;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
7;42;9;149104;106;146;1482;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
3;13;1;148890;83;287;1549;Coffee;1;Morning;Dine-in;0;1;Neutral;1;1
9;38;4;146887;164;329;618;Coffee;0;Evening;Dine-in;0;0;Positive;1;1
7;5;1;145412;68;15;1169;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
6;11;6;144833;264;60;2742;Coffee;0;Morning;Delivery;1;1;Neutral;1;0
6;18;11;141353;387;17;1697;Coffee;0;Evening;Dine-in;1;0;Positive;1;0
11;27;2;140866;473;9;1650;Coffee;0;Evening;Dine-in;0;1;Neutral;0;1
6;44;6;140845;311;234;1672;Lunch;0;Morning;Dine-in;0;0;Negative;1;1
7;30;32;139506;407;33;2828;Pastries;0;Afternoon;Takeaway;0;0;Positive;1;1
5;54;10;137631;461;248;1027;Lunch;0;Morning;Takeaway;0;0;Positive;1;1
2;30;1;137323;19;49;1835;Coffee;0;Morning;Dine-in;0;0;Neutral;1;1
11;9;38;136511;282;438;2310;Coffee;0;Morning;Takeaway;1;0;Positive;0;1
6;5;1;136337;131;378;944;Coffee;0;Afternoon;Takeaway;0;0;Neutral;1;0
8;4;4;135794;129;329;606;Pastries;0;Morning;Dine-in;0;1;Positive;1;0
3;6;5;135243;331;86;1928;Coffee;0;Morning;Delivery;0;0;Positive;1;0
8;27;5;134615;192;314;1862;Pastries;0;Afternoon;Dine-in;1;0;Negative;1;0
4;16;12;134124;217;24;175;Lunch;0;Evening;Takeaway;0;1;Positive;1;0
8;4;19;133047;16;188;2065;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
11;8;1;132928;60;58;467;Lunch;1;Evening;Dine-in;1;0;Neutral;1;1
9;37;9;132443;284;254;2779;Pastries;0;Afternoon;Dine-in;1;1;Positive;0;1
4;18;0;132346;15;88;2749;Pastries;1;Evening;Dine-in;0;0;Positive;1;1
6;50;0;131921;307;460;227;Coffee;0;Afternoon;Dine-in;0;0;Positive;0;1
7;9;6;131511;328;312;2602;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
2;2;2;131344;109;121;1768;Coffee;0;Morning;Dine-in;0;0;Positive;0;1
9;7;0;131277;158;277;2255;Coffee;0;Afternoon;Takeaway;1;0;Neutral;1;0
7;21;28;131181;327;318;691;Pastries;1;Morning;Delivery;0;0;Positive;1;1
6;20;3;131078;289;169;2909;Coffee;0;Morning;Takeaway;1;0;Negative;1;0
8;7;1;130813;74;374;2654;Lunch;0;Morning;Dine-in;0;0;Neutral;1;0
5;9;9;130750;270;121;2328;Coffee;1;Evening;Takeaway;0;0;Negative;1;0
7;14;2;130731;294;328;2626;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
6;55;1;129539;498;112;314;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
9;11;27;129481;309;408;727;Coffee;0;Afternoon;Dine-in;0;0;Negative;1;1
7;7;18;129152;66;496;1523;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;16;0;129021;444;38;2100;Coffee;0;Evening;Dine-in;0;0;Neutral;0;0
5;1;5;128947;150;253;769;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
9;15;4;128692;58;294;940;Coffee;0;Morning;Delivery;0;0;Negative;1;0
7;6;0;128668;240;59;348;Lunch;0;Evening;Takeaway;1;0;Neutral;1;0
10;6;24;128611;279;215;2045;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
10;25;2;128443;30;211;1890;Coffee;0;Afternoon;Takeaway;0;0;Negative;1;0
7;1;12;128394;309;80;852;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
8;12;0;128276;12;187;1465;Pastries;1;Morning;Dine-in;0;0;Positive;1;0
9;10;2;128149;136;404;1717;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
14;14;0;128107;383;137;1681;Lunch;0;Morning;Dine-in;0;0;Negative;1;0
8;32;4;128075;374;12;2029;Coffee;0;Afternoon;Takeaway;0;0;Neutral;1;1
4;33;10;128039;446;465;2697;Lunch;1;Morning;Dine-in;0;0;Positive;1;1
9;2;5;127848;184;101;568;Coffee;0;Afternoon;Delivery;0;0;Neutral;0;0
7;12;11;127844;87;127;2050;Pastries;0;Morning;Takeaway;0;0;Positive;0;1
4;34;7;127829;126;192;1392;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;0;40;127516;188;404;1513;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
6;8;8;126960;448;133;2829;Pastries;0;Afternoon;Dine-in;0;0;Neutral;1;0
9;13;0;126433;494;310;186;Coffee;0;Afternoon;Takeaway;0;2;Neutral;1;0
5;36;2;126377;60;336;2006;Lunch;0;Morning;Dine-in;0;1;Neutral;1;0
7;19;2;126361;308;33;2309;Lunch;0;Morning;Dine-in;0;1;Negative;1;0
6;25;21;126302;142;243;683;Pastries;0;Morning;Dine-in;0;0;Positive;1;1
6;54;6;126113;345;14;447;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
8;4;0;126069;298;12;1178;Lunch;0;Afternoon;Delivery;1;0;Positive;1;0
6;0;4;126055;89;100;65;Coffee;0;Afternoon;Takeaway;1;0;Positive;1;0
15;13;6;125672;436;259;1868;Pastries;0;Afternoon;Takeaway;0;0;Positive;0;1
4;4;4;125527;54;306;1618;Coffee;0;Afternoon;Dine-in;1;0;Positive;1;1
6;10;0;125451;363;244;1842;Pastries;1;Morning;Dine-in;0;0;Positive;1;0
3;19;5;125409;87;262;1253;Coffee;1;Morning;Takeaway;0;0;Positive;1;0
9;0;12;124716;97;220;726;Lunch;0;Evening;Dine-in;0;0;Positive;1;0
11;7;5;124652;35;59;769;Coffee;0;Afternoon;Takeaway;0;2;Positive;1;0
9;7;25;124644;269;289;2914;Coffee;0;Evening;Takeaway;0;0;Positive;1;1
9;0;16;124638;102;160;2237;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
7;9;2;124592;287;436;1869;Lunch;0;Morning;Dine-in;0;0;Neutral;1;0
13;12;0;124465;331;71;1405;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;2;3;124443;409;55;2441;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
9;26;2;124420;251;117;586;Coffee;0;Evening;Takeaway;0;1;Positive;1;0
11;6;2;124077;471;155;1228;Coffee;0;Morning;Delivery;0;0;Negative;1;1
8;67;2;123984;107;448;600;Pastries;0;Morning;Dine-in;1;0;Positive;1;0
11;30;40;123836;393;237;2562;Coffee;1;Morning;Dine-in;0;0;Positive;1;1
5;8;6;123292;213;496;1891;Pastries;0;Morning;Delivery;1;0;Positive;0;1
9;53;0;123087;215;413;89;Pastries;0;Evening;Dine-in;0;1;Positive;1;0
7;16;13;123015;54;315;209;Pastries;0;Evening;Dine-in;0;3;Neutral;0;1
8;0;26;122958;180;415;2306;Pastries;0;Afternoon;Takeaway;1;0;Positive;1;0
5;9;4;122918;127;460;527;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
10;23;5;122823;490;336;188;Coffee;0;Evening;Takeaway;0;0;Neutral;0;0
8;32;6;122768;19;186;154;Coffee;1;Morning;Dine-in;0;0;Positive;1;0
7;13;9;122716;466;457;367;Lunch;0;Evening;Dine-in;0;0;Negative;1;0
6;18;3;122670;62;447;372;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
6;6;1;122615;100;336;2057;Pastries;0;Morning;Dine-in;0;2;Positive;1;0
8;3;8;122518;489;27;791;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
9;8;18;122468;88;437;2959;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;16;8;122323;378;19;1041;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
7;59;5;122155;326;475;798;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
12;0;1;122101;397;192;243;Pastries;0;Morning;Takeaway;1;0;Positive;1;0
17;26;4;122047;404;391;2735;Pastries;0;Morning;Delivery;0;0;Neutral;1;0
9;1;13;122043;106;150;2528;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
8;8;17;122005;283;292;1616;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
8;9;7;121981;235;159;1784;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
8;42;16;121970;59;121;548;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
7;8;2;121875;353;276;2349;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
7;19;29;121871;420;186;1720;Coffee;0;Morning;Delivery;0;0;Positive;1;0
9;14;2;121807;280;270;1637;Coffee;0;Afternoon;Takeaway;0;1;Positive;1;0
10;4;21;121739;299;476;2478;Coffee;1;Afternoon;Takeaway;0;0;Neutral;1;0
16;17;9;121737;124;44;1332;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
7;15;13;121595;457;334;214;Pastries;1;Evening;Takeaway;1;0;Positive;1;0
9;1;38;121518;423;438;1426;Coffee;0;Morning;Delivery;0;0;Positive;1;0
8;17;5;121517;43;53;1354;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;0
11;12;4;121444;54;307;420;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
5;12;22;121429;213;363;1853;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
5;0;0;121402;189;420;135;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
9;2;5;121350;303;207;360;Coffee;0;Evening;Dine-in;1;0;Positive;1;1
6;7;3;121296;386;250;1820;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;11;5;121259;104;41;2877;Lunch;0;Morning;Takeaway;0;0;Neutral;1;0
5;2;4;121165;117;330;2888;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
15;22;0;121129;34;460;1493;Pastries;0;Afternoon;Takeaway;0;1;Neutral;1;0
6;7;8;121016;234;222;1807;Coffee;1;Afternoon;Dine-in;0;1;Neutral;1;0
7;12;9;120913;137;112;2659;Coffee;1;Afternoon;Dine-in;1;0;Neutral;1;0
9;0;0;120851;22;408;1321;Lunch;0;Evening;Dine-in;0;0;Positive;1;0
11;18;3;120821;458;483;97;Pastries;1;Afternoon;Takeaway;0;0;Positive;1;1
7;4;18;120615;78;317;1805;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
12;29;3;120590;408;443;2296;Pastries;0;Morning;Dine-in;1;0;Positive;1;1
11;2;6;120572;105;145;1162;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
5;0;4;120527;341;276;1956;Coffee;1;Morning;Dine-in;0;0;Positive;1;0
9;4;10;120413;105;4;828;Coffee;0;Evening;Takeaway;0;1;Neutral;0;0
7;26;7;120366;364;132;1388;Coffee;0;Evening;Takeaway;0;0;Neutral;1;0
5;30;3;120325;473;160;1001;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;18;2;120280;127;266;398;Coffee;0;Afternoon;Dine-in;0;0;Negative;1;0
7;14;1;120166;354;377;346;Coffee;0;Morning;Delivery;0;0;Positive;1;0
7;8;30;120137;80;347;2891;Coffee;0;Afternoon;Dine-in;1;0;Positive;1;1
9;15;2;119938;145;266;1363;Coffee;0;Morning;Delivery;1;0;Neutral;1;0
7;0;34;119877;153;280;2266;Pastries;0;Morning;Takeaway;0;0;Positive;1;1
6;1;4;119750;491;37;1111;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
5;0;7;119745;74;487;1038;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;4;1;119712;192;169;1918;Coffee;0;Afternoon;Dine-in;1;0;Positive;1;1
6;40;29;119558;424;83;844;Coffee;0;Evening;Takeaway;0;1;Positive;1;1
6;11;13;119486;50;228;180;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
8;18;13;119340;236;268;911;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
4;5;18;119183;147;368;2457;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
5;5;3;119055;33;401;2285;Coffee;0;Evening;Takeaway;0;0;Negative;1;1
10;3;5;119046;393;232;1711;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
10;44;7;119002;456;17;1466;Pastries;0;Morning;Takeaway;0;0;Negative;0;1
3;23;2;118980;63;415;2214;Coffee;0;Morning;Takeaway;0;0;Neutral;1;1
10;13;12;118928;17;481;1840;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
11;4;11;118922;348;265;1922;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
9;11;2;118908;127;352;1711;Pastries;0;Morning;Dine-in;0;0;Neutral;0;1
5;3;4;118793;157;36;2328;Coffee;0;Morning;Takeaway;0;3;Negative;1;1
2;0;1;118787;12;92;1948;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
9;8;26;118682;89;211;2574;Lunch;0;Afternoon;Takeaway;0;0;Neutral;1;1
6;10;9;118658;236;30;1689;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
11;11;5;118638;342;43;1381;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
8;15;26;118562;453;395;1392;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;15;0;118502;461;207;1122;Coffee;0;Evening;Dine-in;0;1;Positive;1;0
8;13;1;118488;99;437;1786;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
5;41;0;118442;244;349;1874;Pastries;0;Evening;Takeaway;0;0;Positive;1;1
9;10;2;118431;490;260;2061;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
12;23;17;118392;201;127;915;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
7;30;4;118314;244;360;2027;Pastries;0;Morning;Takeaway;0;1;Neutral;1;0
11;20;2;118307;485;181;2029;Lunch;0;Evening;Dine-in;0;0;Positive;1;0
10;9;7;118286;474;272;1857;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
13;3;17;118191;307;118;2954;Coffee;0;Afternoon;Dine-in;0;3;Positive;1;0
11;8;3;118151;116;66;1350;Pastries;0;Morning;Dine-in;0;3;Positive;1;0
6;86;20;118143;143;417;1335;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
11;21;6;118113;276;280;745;Coffee;1;Morning;Takeaway;0;1;Positive;1;0
12;20;13;118027;126;43;2678;Lunch;0;Morning;Delivery;1;0;Neutral;0;1
5;0;1;118013;289;48;1265;Coffee;1;Morning;Delivery;0;0;Positive;1;0
8;6;30;117985;323;161;1735;Coffee;1;Evening;Dine-in;1;0;Negative;1;1
4;16;2;117944;26;170;907;Pastries;0;Evening;Dine-in;0;0;Positive;0;1
8;20;13;117943;108;75;1390;Pastries;0;Morning;Dine-in;0;0;Negative;1;0
7;4;24;117875;203;223;1661;Lunch;0;Evening;Dine-in;0;0;Negative;1;1
10;1;43;117850;366;196;1925;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
11;0;4;117826;19;34;258;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
4;12;0;117820;192;204;753;Pastries;0;Evening;Takeaway;0;0;Positive;1;0
13;16;1;117735;180;367;1417;Coffee;0;Morning;Dine-in;0;0;Positive;0;0
8;0;9;117731;188;382;858;Pastries;1;Afternoon;Dine-in;0;0;Neutral;1;0
5;27;1;117711;138;488;328;Pastries;0;Evening;Dine-in;0;0;Neutral;0;0
9;0;6;117543;180;31;444;Coffee;0;Morning;Dine-in;0;1;Positive;0;0
9;6;5;117537;267;415;426;Coffee;1;Morning;Delivery;0;0;Positive;1;1
8;2;30;117413;230;149;1281;Pastries;1;Afternoon;Dine-in;0;0;Positive;1;1
10;15;3;117309;378;61;1940;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
5;8;5;117282;259;306;135;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
6;8;6;117254;320;290;89;Coffee;1;Evening;Dine-in;0;0;Positive;1;1
12;5;9;117172;227;98;769;Pastries;0;Afternoon;Dine-in;0;0;Neutral;0;0
4;25;13;117144;328;68;251;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;1
10;24;0;116986;71;474;925;Coffee;1;Evening;Takeaway;0;0;Positive;1;0
13;7;2;116905;256;348;2814;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
10;19;3;116888;49;441;1475;Coffee;0;Evening;Takeaway;0;1;Neutral;1;0
9;8;12;116880;303;29;780;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
2;30;3;116763;286;241;448;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
6;7;17;116721;155;259;1624;Coffee;1;Afternoon;Dine-in;0;0;Positive;1;1
5;12;12;116680;264;34;288;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
5;0;19;116678;343;459;2316;Coffee;1;Evening;Dine-in;0;0;Positive;1;0
8;2;13;116662;17;204;1419;Coffee;0;Morning;Delivery;0;0;Negative;1;0
7;34;48;116661;152;407;1172;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
10;6;28;116561;75;357;1078;Pastries;0;Evening;Dine-in;0;2;Positive;0;1
5;1;0;116558;153;125;1316;Coffee;1;Morning;Dine-in;0;0;Positive;1;0
10;15;1;116476;103;240;1959;Coffee;0;Evening;Dine-in;0;0;Negative;1;1
9;18;2;116413;180;316;5;Coffee;0;Afternoon;Takeaway;0;2;Positive;1;1
13;5;0;116380;106;363;2417;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
7;25;9;116337;90;409;81;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
12;15;0;116318;314;377;1043;Pastries;0;Evening;Takeaway;0;1;Positive;1;0
4;2;3;116286;406;399;1585;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
5;11;3;116243;6;329;2678;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
8;48;1;115977;386;377;2267;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
6;51;11;115945;371;256;228;Pastries;0;Morning;Takeaway;0;0;Positive;1;1
6;9;5;115938;329;311;1656;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
7;26;1;115834;388;293;720;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
13;24;6;115812;326;353;2327;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
10;3;4;115733;312;172;2178;Lunch;1;Morning;Delivery;1;0;Neutral;1;1
3;7;0;115732;366;365;2377;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;0
7;1;13;115719;403;69;2957;Pastries;0;Morning;Delivery;0;0;Positive;1;0
9;1;1;115653;180;202;310;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
8;39;14;115552;174;278;316;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
6;20;6;115543;256;122;2786;Lunch;0;Afternoon;Dine-in;0;0;Positive;1;0
7;2;2;115500;359;172;2056;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
9;9;7;115491;450;378;2149;Pastries;0;Morning;Takeaway;0;0;Negative;1;0
12;18;5;115491;327;229;1392;Pastries;0;Evening;Dine-in;0;0;Neutral;1;0
12;3;4;115412;263;62;134;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
8;14;18;115323;274;35;2995;Pastries;0;Morning;Dine-in;0;2;Positive;1;0
10;39;3;115286;202;389;1806;Lunch;0;Morning;Takeaway;0;1;Neutral;1;0
8;24;2;115277;44;102;2851;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
9;0;4;115275;421;31;2576;Pastries;1;Morning;Delivery;0;0;Neutral;1;0
7;0;17;115243;214;169;1912;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;0
5;4;0;115211;116;54;738;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
7;3;12;115007;137;375;1444;Lunch;0;Afternoon;Takeaway;1;0;Positive;1;0
7;17;9;114864;404;284;1626;Coffee;0;Evening;Delivery;0;0;Positive;1;0
12;16;11;114850;146;279;2592;Coffee;0;Morning;Takeaway;0;1;Positive;1;0
7;9;19;114773;396;490;1517;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
5;10;16;114727;382;216;2214;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
4;14;0;114692;49;79;2717;Pastries;0;Morning;Dine-in;0;2;Positive;0;1
8;47;10;114687;490;241;2971;Pastries;0;Morning;Dine-in;0;0;Neutral;1;1
8;1;0;114663;272;447;2270;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
4;39;0;114657;364;374;2470;Coffee;0;Afternoon;Dine-in;1;0;Negative;1;1
14;9;7;114612;301;66;1847;Pastries;0;Afternoon;Takeaway;0;0;Positive;1;0
8;3;3;114592;254;35;1150;Pastries;1;Evening;Delivery;0;0;Positive;1;0
5;11;5;114589;340;224;1485;Lunch;0;Morning;Dine-in;1;0;Positive;1;0
10;5;5;114577;489;472;1524;Coffee;0;Morning;Dine-in;0;0;Neutral;0;0
8;4;5;114571;248;8;2855;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
12;8;5;114487;335;10;1105;Coffee;0;Morning;Takeaway;0;0;Neutral;1;0
10;31;2;114420;487;325;2960;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
13;7;12;114368;360;266;2597;Coffee;0;Afternoon;Dine-in;0;0;Negative;0;0
9;16;15;114346;486;407;1463;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
7;10;3;114336;422;277;1073;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
8;12;21;114316;80;207;874;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
10;15;6;114305;309;235;2957;Lunch;0;Afternoon;Dine-in;0;1;Negative;1;0
